original_poem,translated_poem,src_lang,tgt_lang
"mesa de café
estava sentada no meio do café, com as mesas cheias
à sua volta. estava sozinha, e o olhar perdia-se
entre o ar e o balcão, fingindo estar atenta
ao que se passava, como se alguma coisa se
passasse entretanto. tinha tomado o café; e o copo
de água estava cheio, ao lado de um cinzeiro
que não servia para nada porque não fumava.
segui a direcção dos seus olhos, vendo o vazio
formar-se no lugar em que os meus e os dela
se cruzavam, nessa zona branca do café em que
o fumo dos cigarros absorvia as conversas e
o barulho das chávenas. e deixei-a estar, por
algum tempo, na ilusão de que estava sozinha,
até olhar para a porta, de onde alguém viria.
não fiquei para saber se quem chegou era quem
ela esperava, ou se continuaria a fixar o
horizonte da parede onde um relógio insistia
em pontuar o tempo. e continuo a vê-la,
puxando o cabelo para trás, num gesto de quem
julga que alguém vai chegar, sem saber que
quem havia de chegar a deixou sozinha, comigo.","café table
she was sitting in the middle of the café, with full tables
all around her. she was alone, and her gaze was lost
between the air and the counter, pretending to be attentive
to what was going on, as though something actually
was going on. she’d finished her espresso; and the glass
of water was still full, next to an ashtray,
which wasn’t serving any purpose since she didn’t smoke.
i followed the direction of her eyes, looking into the emptiness
that gathered in the place where mine and hers
crossed, in that white zone where
the cigarette smoke absorbed the conversations and
the clatter of cups. then i forgot about her for a
little bit, in the illusion that she was alone,
until i noticed that someone was coming in through a door.
i didn’t stay long enough to learn if whoever had arrived was
the one she was waiting for, or if she would continue to stare at
the blankness of the wall where a clock insisted on
telling the time. and i continue to see her,
brushing her hair from her face, with that gesture of one
who imagines that someone is about to arrive, without knowing
that the one she was waiting for had left her all alone, with me.",pt_XX,en_XX
"o último dia do verão
pois às vezes me falta a quem contar
certo dia passado do princípio ao fim
o encanto que tenha realmente
a insistência do vento ao longo da foz
aquilo que daria (e eu daria tudo) por compaixão
nascemos e vivemos só algum tempo
não temos nada
não podemos mesmo na penumbra
decidir a atenção ou o esquecimento
as forças soçobram como vago motivos
em público
e em qualquer lugar
por isso sei tão bem o valor
da natureza indiscutível dos teus olhos
onde a luz anota seus aspectos
teus olhos impacientes e irrealizáveis
que me acompanham
agora que sozinho danço
pela cidade vazia","the last day of summer
sometimes i miss having no one i can tell
a certain day from beginning to end
the real enchantment of the steady wind
all along the shore at foz do douro
what i’d give (and i’d give everything) for compassion
we’re born and we live for only a while
we have nothing
and not even when dusk arrives are we able
to choose attention or choose forgetfulness
our forces founder like hazy intentions
in public
or in any place
that’s why i put so much stock
in the unquestionable nature of your eyes
where the light records its every aspect
your impatient and inconceivable eyes
here with me now
as i dance alone
in the empty city",pt_XX,en_XX
"a lavadeira no tanque
bate roupa em pedra bem.
canta porque canta, e é triste
porque canta porque existe;
por isso é alegre também.
ora se eu alguma vez
pudesse fazer nos versos
o que a essa roupa ela fez,
eu perderia talvez
os meus destinos diversos.
há uma grande unidade
em, sem pensar nem razão,
e até cantando a metade,
bater roupa em realidade...
quem me lava o coração?","the washwoman beats the laundry
the washwoman beats the laundry
against the stone in the tank.
she sings because she sings and is sad
for she sings because she exists:
thus she is also happy.
if i could do in verses
what she does with laundry,
perhaps i would lose
my surfeit of fates.
ah, the tremendous unity
of beating laundry in reality,
singing songs in whole or in part
without any thought or reason!
but who will wash my heart?",pt_XX,en_XX
"ah a frescura na face de não cumprir um dever!
faltar é positivamente estar no campo!
que refúgio o não se poder ter confiança em nós!
respiro melhor agora que passaram as horas dos encontros.
faltei a todos, com uma deliberação do desleixo,
fiquei esperando a vontade de ir para lá, que eu saberia que não
vinha.
sou livre, contra a sociedade organizada e vestida.
estou nu, e mergulho na água da minha imaginação.
é tarde para eu estar em qualquer dos dois pontos onde estaria
à mesma hora,
deliberadamente à mesma hora…
está bem, ficarei aqui sonhando versos e sorrindo em itálico.
é tão engraçada esta parte assistente da vida!
até não consigo acender o cigarro seguinte… se é um gesto,
fique com os outros, que me esperam, no desencontro que é a vida.","ah, the freshness in the face of leaving a task undone!
ah, the freshness in the face of leaving a task undone!
to be remiss is to be positively out in the country!
what a refuge it is to be completely unreliable!
i can breathe easier now that the appointments are behind me.
i missed them all, through deliberate negligence,
having waited for the urge to go, which i knew wouldn’t come.
i’m free, and against organized, clothed society.
i’m naked and plunge into the water of my imagination.
it’s too late to be at either of the two meetings where i should have been at the same time,
deliberately at the same time...
no matter, i’ll stay here dreaming verses and smiling in italics.
this spectator aspect of life is so amusing!
i can’t even light the next cigarette... if it’s an action,
it can wait for me, along with the others, in the non-meeting called life.",pt_XX,en_XX
"pedaços de vinil com lama
devia ser o disco mais ouvido:
a quinta sinfonia, numa gravação
de klemperer. as manhãs
e as tardes auguravam um futuro
melhor, prendados costumes
que depressa perdi. já então olhava
para a taberna da ana,
enchendo a janela do meu quarto.
tinha medo da sombra, do silêncio,
adivinhando em cada passo o monstro
que me habitava. e lia, para não pensar,
desacreditados escritores franceses.
um dia, de tanto o amar,
peguei no disco e quebrei-o
em pequenos pedaços de vinil
– para doerem mais, melhor.
mantive, não sei bem porquê,
a dura capa de cartão,
essa fúnebre alegoria da infância.
e o que sobrou do disco foi parar
ao ribeiro junto à casa dos meus pais.
mais tarde, o ribeiro com hortas
de domingo à volta foi sufocado pelo terror
de um aldeamento, versão provinciana
de condomínio fechado, num mundo
em que são cada vez mais as portas.
beethoven, esse, quase deixou
de me comover, soterrado como as rãs
pelas mãos invisíveis de quem mata.
o que me comove, passado tanto
tempo, é perceber que fiz a esse disco
o mesmo que faço e volto a fazer
aos corpos que julgo amar:
parti-los, muito devagar, para
que doam sempre um pouco mais.","grimy bits of vinyl
it must have been the most-played record:
the fifth symphony, conducted
by klemperer. the mornings
and afternoons promised a better
future, virtuous habits,
which i soon forgot. i was already eyeing
ana’s tavern,
which filled my bedroom window.
i feared the shadows, silence,
feeling in each footstep the monster
inside me. and i read, so as not to think,
discredited french writers.
i loved it so much that one day
i grabbed the record and broke it
to bits – tiny bits of vinyl –
so that they’d hurt even more.
i’m not sure why, but i kept
the stiff cardboard jacket,
that lugubrious allegory of childhood.
and the remains of the record ended up
in the stream next to my parents’ house.
later on the stream, flanked by weekend
vegetable patches, was strangled by an implacable
housing development, the provincial version
of a gated condominium, in a world
with ever more doors.
as for beethoven, buried like the frogs
by invisible killing hands,
he almost ceased to move me.
what moves me now, years
later, is to realize i did to that record
the same thing i do over and over
to the bodies i think i love:
i shatter them, very slowly, so that
they’ll keep on hurting a little more.",pt_XX,en_XX
"três ou quatro crianças
mais ou menos aqui havia há pouco umas crianças
três ou quatro crianças mais ou menos ali
devia haver crianças há este sítio do sol
aqui onde o vento vitima às vezes o verão
e crianças no verão no montículo aqui
crianças que o vento vitima
minhas vítimas virtuais outras vezes
vítimas agora dos meus olhos que agora as não vêem
crianças em crise polvilhadas de pó
puro pó ao vento revolto um momento
crianças que um só pensamento pode levar
crianças que se definem pelo crescimento
que no contentamento por vezes de todo se contêm
crianças canas que vergam leves ao vento
do instante crianças que ora aqui se concentram
ora se erguem ali sempre alheias a si
crianças quase sem peso quase até sem pés
oscilando nas hastes ao vento
como por encanto por vezes envoltas no seu manto
crianças coisas quase apenas pensadas
coisas das quais se duvida às vezes
que a gente quase não sabe se são ou não são
que ora nos parece que são ora que não são
que são vivas vítimas talvez da dúvida
crianças pouco mais do que dúvidas
que estavam que não estão aqui
que mesmo quando aqui estavam não estavam aqui
que quando muito podem talvez ter aqui estado
ao vento dentro deste verão
crianças coisas que voam coisas que se evolam
aves de olhos leves três ou quatro vozes
três ou quatro notas do tempo do vento
crianças três ou quatro momentos ao todo
três ou quatro casas ao vento
casas ao alto erguidas e logo caídas
casas caídas caiadas
três ou quatro nadas
canas vistas vergar há pouco nas frágeis vidas
agora fugidas da minha vista
três ou quatro crianças absortas nas suas vidas
cada uma bem pouco três
ou quatro crianças três ou quatro vezes a vida
há aqui este cabeço estavam estariam aqui
três ou quatro que havia três ou quatro que eu via que ouvia
coisas que eu vi que talvez tenha visto
pouco mais que um gesto
pouco mais que um instante neste mês de agosto
já não sei se as vi já não sei se as não vi
haveria umas crianças mais ou menos aqui","three or four children
more or less here not long ago there were some children
three or four children more or less right there
there must have been children there’s so much sun
here where the wind sometimes flagellates the summer
and children in the summer here on the hill
children who are the wind’s victims
and sometimes my virtual victims
victims right now of my eyes that don’t see them now
children in crisis all covered with dust
pure dust stirred up for a moment by the wind
children who can be led by a single thought
children who are defined by their growth
who sometimes completely consist in contentment
children like reeds that lightly bend in the wind
of the moment children now concentrated here
now springing up over there forever self-detached
almost weightless almost footless children
swaying on stalks in the wind
and sometimes wrapped in its cloak as if by magic
children things we almost only think of
things we sometimes doubt
things we’re not quite sure exist
seeming to be one moment seeming not to be the next
being perhaps living victims of doubt
children scarcely more than doubts
who were here who aren’t here
who weren’t here even when they were here
who at most may perhaps have been here
in the wind within this summer
children things that fly things that take flight
birds with lightish eyes three or four voices
three or four notes from the time the wind blew
children three or four moments in all
three or four houses in the wind
houses raised on high that promptly fall
whitewashed fallen-down houses
three or four nothings in all
reeds i just now saw bending in their fragile lives
already vanished from my sight
three or four children absorbed in their lives
each one hardly anything three
or four children three or four times life
here’s this mound here there were there must have been
three or four who were there three or four whom i saw i heard
things i saw things i perhaps saw
scarcely more than a gesture
scarcely more than a moment in this month of august
i’m no longer sure if i saw them if i didn’t seem them
it seems there were some children more or less here",pt_XX,en_XX
"texto de apresentação
1.
é-me indiferente: poeta, poetisa
dependerá do ritmo ou da medida –
prefiro tradutora, mas admito
que por vezes não dobro e sou narcisa.
2.
a minha primeira poesia era
sobre chuva e choro. hoje seria
prosa, ou sobre chuva e a pólvora:
chove fora viola o vento o vidro,
a rua nunca é como os prospectos –
o meu bilhete ao mundo, espeto-o
com delicado verbo ao coração.
rebenta, murcho músculo entupido –
mil vezes fosse a vida a excepção.
3.
se o rigor do verso não visa qualquer prova
senão procura –
ou provar o que seja de sabor.
se não escrevo por encomenda
senão por ventura serôdia
4.
posso posar, certamente,
para a máquina fotográfica,
moldar a boca ao disparo ou regular
a abertura ao diafragma. dependente
do papel revelador –
modelo artista presa, sou como todos:
as vidas que não toco interessam-me
num desequilíbrio de voracidade e avareza.
antes ainda assim me conheçam de vista
que de revista.","introductory text
1.
for me it makes little difference: poet, poetess –
depends on the measure, and the stress –
i prefer translator, but admit
that i sometimes can’t be plied, i’m a narcissist.
2.
my earliest poetry was about rain
and weeping. today it would be
prose and rain, or gunpowder:
it's raining out, wind rapes the window,
a street is never like the brochures –
with fine eloquence i stab my note
to the world through my heart.
it bursts, withered muscle bloat –
a thousand times that life were more than art.
3.
if the line’s strict measure doesn’t aim to show
but is a seeking instead –
or is the taste of what it finds . . .
if i don’t write to order,
but showered by latter rain.
4.
certainly, i can pose
for the camera,
mold my mouth to the click, close
down the diaphragm. it depends
how the roll is developed –
model artist prey, i’m like everyone:
the lives i don’t touch interest me
in uneven parts of avarice and voracity.
before they know me, period,
they know me periodically.",pt_XX,en_XX
"muro
a transparência espessa
do ar que devagar
se formou tão depressa
em frente do olhar
é a de um muro fluido
que não deixa passar
o impuro murmúrio
da voz sem luz nem ar","wall
the thick transparency
of the air that slowly
took shape so quickly
before one’s gaze
is that of a fluid wall
that won’t let through
the impure murmur
of a voice with neither light nor air",pt_XX,en_XX
"flores e outras espécies sem nome
nada na natureza tem nome.
como se de um jardim botânico
sem indicações precisas – em latim de preferência – se tratasse.
lineu rir-se-ia da minha ignorância feliz –
deste conhecimento que complacente
se diverte no seu desconhecimento.
formas, cores, a ebriedade dos cheiros,
a insensata vertigem sensitiva de um bosque,
a atmosfera vegetal de uma estufa,
as flores como sexos – são sexos? – abertos
onde perante visitas mergulho.
atónitos ficariam se soubessem que nada na natureza –
é “natureza” este voluptuoso jogo
de se desconhecer? – tem nome. tudo é orgânico recorte
que o herbário não contém, desequilíbrio,
sonho do indecifrável que lento se putrefaz
perante a virtuosa ignorância classificatória
em mim se animando.","flowers and other nameless species
nothing in nature has a name.
as if it were a botanical garden
with only the vaguest indications, preferably in latin.
linnaeus would laugh at my happy ignorance,
at this knowledge that blithely
delights in not knowing.
colors, shapes, inebriating fragrances,
the senseless, sensation-filled vertigo of a forest,
the vegetable atmosphere of a greenhouse,
the flowers like open sex organs – are they
sex organs? – which i dive into as visitors look on.
they’d be shocked to find out that nothing in nature –
is ‘nature’ this voluptuous game
of self-ignorance? – has a name. it’s all organic essence
not found in herbariums, all disproportion,
all a dream of indecipherables slowly rotting
before this virtuous classificatory ignorance
bursting with life inside me.",pt_XX,en_XX
"morreremos repetidamente sobre esta praia, nas margens da luz.
a rosa declina a sua autobiografia, obliquamente caindo
sobre quilómetros e quilómetros de florestas insistentes,
sobre a sombria arquitectura desta terra longamente apaixonada,
sobre a rosa que sobe até à aérea metalurgia das nuvens.","we will die over and over on this beach, on the shores of light.
we will die over and over on this beach, on the shores of light.
the rose declines its autobiography, obliquely falling
over miles and miles of unrelenting forest,
over the shadowy architecture of this earth so long in love,
over the rose that ascends to the airy metalwork of clouds.",pt_XX,en_XX
